Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,Postal Code,Outcode,log_price,price_band
625000,Flat / Apartment,428,1,westminster,london,SW1P 2TB,SW1P,13.345506928718539,1
2290000,Flat / Apartment,1604,2,st jamess,london,SW1E 6LB,SW1E,14.644062375530423,7
3450000,House,1820,5,chelsea,london,SW3 4BN,SW3,15.053884789007542,8
995000,Flat / Apartment,710,2,primrose hill,london,NW3 3QR,NW3,13.81049801614073,4
450000,New development,538,1,holloway,london,N7 0JN,N7,13.017002861746503,0
850000,Flat / Apartment,935,2,chiswick,london,W4 5LZ,W4,13.652991628466498,3
975000,Flat / Apartment,950,2,maida vale,london,W9 1NP,W9,13.790192749979985,3
1850000,Flat / Apartment,924,3,,london,W8 4SA,W8,14.430696197054507,6
940000,House,1074,3,hackney,london,E8 3GX,E8,13.753635154246187,3
1595000,House,3261,5,surbiton,surrey,KT6 6PN,KT6,14.282384294201082,6
1275000,House,1779,4,,london,SW14 8BT,SW14,14.058456736574664,5
1325000,House,1541,4,,london,SW14 8RF,SW14,14.09692301740246,5
850000,House,1687,4,oxhey,hertfordshire,WD19 4QG,WD19,13.652991628466498,3
865000,Flat / Apartment,880,2,,london,SW11 6LN,SW11,13.670484785914017,3
650000,Flat / Apartment,859,2,,london,SW11 1EA,SW11,13.38472764187182,1
3500000,New development,1577,2,,london,W8 6AX,W8,15.068273526459642,8
1695000,House,1944,5,highbury,london,N5 1XP,N5,14.343193298796688,6
399995,Flat / Apartment,472,1,canary wharf,london,E14 7SZ,E14,12.899207326011993,0
5750000,House,4682,6,barnes,london,SW13 9EU,SW13,15.564710412773533,9
4650000,House,2865,4,belgravia,london,SW1W 0LN,SW1W,15.35237777756354,9
1650000,House,4016,8,radlett,hertfordshire,WD7 9HJ,WD7,14.316285845876763,6
2800000,House,1448,3,,london,SW3 2NH,SW3,14.845129975145433,8
1100000,Flat / Apartment,1056,3,,london,N1 3LL,N1,13.9108207377686,4
2650000,Flat / Apartment,1811,3,parrs way,london,W6 9AN,W6,14.790070197962406,8
1575000,House,2550,5,,london,SW2 4XL,SW2,14.269765830241871,6
525000,Flat / Apartment,775,1,battersea park road,london,SW11 4NB,SW11,13.17115354157376,0
1650000,Flat / Apartment,1099,2,westminster,london,SW1P 3AF,SW1P,14.316285845876763,6
850000,Flat / Apartment,726,2,albany street,london,NW1 4EB,NW1,13.652991628466498,3
2700000,House,1791,3,notting hill,london,W2 4TU,W2,14.808762330974558,8
695000,House,795,2,wimbledon,london,SW19 8SH,SW19,13.45166712454693,2
1400000,House,1799,4,wandsworth,london,SW18 1AD,SW18,14.151982794585487,5
2050000,House,1293,3,st johns wood,london,NW8 6PJ,NW8,14.53335035111459,7
615000,Flat / Apartment,972,2,whitechapel,london,E1 5BA,E1,13.329377546788654,1
1000000,Flat / Apartment,1777,3,putney,london,SW15 5LX,SW15,13.815510557964274,4
315000,Flat / Apartment,526,1,,london,SW4 7EX,SW4,12.66032791780777,0
1850000,New development,1328,3,gatliff road,london,SW1W 8DT,SW1W,14.430696197054507,6
2895000,House,1289,3,,london,SW1W 8HN,SW1W,14.878495668989233,8
450000,Flat / Apartment,459,1,bingham court,london,N1 2DH,N1,13.017002861746503,0
500000,House,963,2,surbiton,surrey,KT5 9HU,KT5,13.122363377404328,0
675000,Flat / Apartment,949,2,,london,SW17 8BW,SW17,13.422467969854667,1
650000,Flat / Apartment,583,1,clerkenwell,city of london,EC1V 3AN,EC1V,13.38472764187182,1
1395000,House,1068,1,chiswick,london,W4 1NB,W4,14.148404973237604,5
2395000,House,4966,5,oxshott,surrey,KT22 0PL,KT22,14.688893788827153,7
725000,Flat / Apartment,858,3,trinity church road,london,SW13 8EA,SW13,13.493926933836812,2
2000000,House,2525,4,barnes,london,SW13 9PH,SW13,14.508657738524219,7
625000,Flat / Apartment,664,2,,london,SW6 7TP,SW6,13.345506928718539,1
1350000,House,1328,3,brackenbury village,london,W6 0HY,W6,14.115615150414612,5
2100000,House,2191,4,battersea,london,SW11 3DR,SW11,14.557447902693651,7
3650000,House,8034,6,esher,surrey,KT10 8LQ,KT10,15.110237725558674,9
1850000,House,1892,4,,london,SW14 8JJ,SW14,14.430696197054507,6
1500000,Flat / Apartment,1132,3,albert bridge road,london,SW11 4PE,SW11,14.22097566607244,6
3625000,House,2190,4,primrose hill,london,NW1 8YH,NW1,15.103364846270912,9
1500000,Flat / Apartment,1274,2,mill street,london,SE1 2BB,SE1,14.22097566607244,6
525000,Flat / Apartment,630,2,barnes,london,SW13 9ER,SW13,13.17115354157376,0
290000,Flat / Apartment,455,1,banbury road,london,E9 7ED,E9,12.577636201962656,0
1725000,House,2931,5,putney,london,SW15 3JG,SW15,14.360737608447597,6
1395000,House,1510,3,islington,london,N1 7AL,N1,14.148404973237604,5
400000,Flat / Apartment,705,2,deptford,london,SE8 3AL,SE8,12.89921982609012,0
3350000,House,1504,3,,london,SW1X 9DU,SW1X,15.02447090380125,8
1795000,House,2067,4,putney,london,SW15 6ED,SW15,14.400515579904516,6
600000,Flat / Apartment,1160,2,northwood,middlesex,HA6 2BX,HA6,13.304684934198283,1
1500000,House,1997,4,ealing,london,W13 8BH,W13,14.22097566607244,6
1600000,House,2149,4,wandsworth,london,SW18 2EQ,SW18,14.28551418721001,6
1550000,House,3620,7,,london,SW16 1QW,SW16,14.253765488895429,6
1325000,Flat / Apartment,1195,3,westminster,london,SW1P 4HD,SW1P,14.09692301740246,5
1395000,House,1587,3,camden,london,NW1 9RJ,NW1,14.148404973237604,5
735000,Flat / Apartment,849,2,,london,WC1X 0ER,WC1X,13.507625778194974,2
825000,House,2094,4,thames ditton,surrey,KT7 0DJ,KT7,13.623138665316818,3
1500000,Flat / Apartment,2550,3,,london,E1W 2BQ,E1W,14.22097566607244,6
679000,Flat / Apartment,832,2,canary wharf,london,E14 9DB,E14,13.428376406540833,2
1500000,Flat / Apartment,1244,3,park walk,london,SW10 0AG,SW10,14.22097566607244,6
1000000,New development,1501,3,northwood,middlesex,HA6 2SB,HA6,13.815510557964274,4
4995000,House,3035,4,little venice,london,W9 2PF,W9,15.423947970064791,9
1350000,House,1604,4,putney,london,SW15 2LS,SW15,14.115615150414612,5
625000,New development,723,2,,london,N1 0BH,N1,13.345506928718539,1
600000,Flat / Apartment,660,2,hackney,london,N1 5QL,N1,13.304684934198283,1
875000,Flat / Apartment,627,1,wapping high street,london,E1W 1NG,E1W,13.681979165339751,3
565000,Flat / Apartment,872,2,canary wharf,london,E14 5SH,E14,13.244581010128577,1
5850000,House,3128,5,,london,SW3 6EX,SW3,15.58195221920804,9
1250000,Flat / Apartment,1201,2,rigault road,london,SW6 4JJ,SW6,14.038654109278484,5
1800000,Flat / Apartment,1453,3,prince of wales drive,london,SW11 4HA,SW11,14.403297222866392,6
1495000,New development,1781,4,new road,london,N8 8TA,N8,14.217636764806924,5
3100000,House,3800,8,,london,SW8 1QA,SW8,14.946912669455374,8
1050000,Flat / Apartment,1831,3,wimbledon,london,SW19 8LU,SW19,13.864300722133706,4
1850000,House,2503,5,wimbledon,london,SW19 7JG,SW19,14.430696197054507,6
730000,Flat / Apartment,1061,3,,london,N7 7FF,N7,13.500799813124575,2
2900000,House,5896,7,surbiton,surrey,KT6 5EY,KT6,14.880221294956703,8
650000,Flat / Apartment,736,2,,london,SW17 7AP,SW17,13.38472764187182,1
2100000,House,2438,5,barnes,london,SW13 0AJ,SW13,14.557447902693651,7
2250000,House,2600,5,barnes,london,SW13 0NT,SW13,14.626440774180603,7
1695000,House,1867,5,,london,SW11 6QT,SW11,14.343193298796688,6
1375000,House,1884,4,wimbledon,london,SW20 0SB,SW20,14.133964289082808,5
1400000,House,2138,5,wandsworth,london,SW18 2DT,SW18,14.151982794585487,5
635000,Flat / Apartment,927,2,putney,london,SW15 2RR,SW15,13.36138027787483,1
2995000,Penthouse,1845,3,,london,WC2H 9DL,WC2H,14.912454789531687,8
1000000,House,1758,4,ealing,london,W13 8HQ,W13,13.815510557964274,4
449950,Flat / Apartment,526,2,south hackney,london,E9 7SX,E9,13.016891744462095,0
425000,Flat / Apartment,474,1,shannon place,london,NW8 7DP,NW8,12.959844447906553,0
650000,House,1783,3,coulsdon,surrey,CR5 3SD,CR5,13.38472764187182,1
1795000,House,1902,3,putney,london,SW15 6NH,SW15,14.400515579904516,6
1600000,Flat / Apartment,801,2,primrose hill,london,NW1 8TU,NW1,14.28551418721001,6
1750000,Flat / Apartment,1002,3,kensington park gardens,london,W11 3HA,W11,14.375126345899696,6
2050000,House,2275,5,,london,SW11 6LX,SW11,14.53335035111459,7
1150000,Flat / Apartment,1371,3,,london,SW11 1BW,SW11,13.955272500339433,4
995000,House,2446,5,,london,SW7 2TB,SW7,13.81049801614073,4
1900000,House,1703,5,islington,london,N1 2LD,N1,14.457364444136669,7
675000,Flat / Apartment,792,1,wenlock road,london,N1 7SJ,N1,13.422467969854667,1
1500000,New development,1273,3,hackney,london,E2 8HN,E2,14.22097566607244,6
620000,New development,786,2,holloway,london,N7 0JN,N7,13.337474757021274,1
650000,Flat / Apartment,747,2,de beauvoir,london,N1 5PH,N1,13.38472764187182,1
500000,Flat / Apartment,663,1,knighten street,london,E1W 1PW,E1W,13.122363377404328,0
1395000,House,2006,5,,london,SW2 4HF,SW2,14.148404973237604,5
2950000,House,3597,4,,london,W6 9AJ,W6,14.897315728316002,8
765000,New development,841,2,carlton drive,london,SW15 2BS,SW15,13.547631112808673,2
1600000,House,1854,4,barnes,london,SW13 0AH,SW13,14.28551418721001,6
975000,House,1126,3,,london,SW11 2JB,SW11,13.790192749979985,3
1699999,House,2119,5,battersea,london,SW11 4RF,SW11,14.346138220790978,6
950000,Flat / Apartment,1294,4,battersea,london,SW11 4PU,SW11,13.764217263576723,3
2150000,House,1582,3,paddington,london,W2 1JG,W2,14.580978400103845,7
2950000,Penthouse,1840,2,st jamess,london,SW1Y 5JH,SW1Y,14.897315728316002,8
1500000,House,1115,3,fulham,london,SW6 2HJ,SW6,14.22097566607244,6
650000,Flat / Apartment,882,2,asher way,london,E1W 2JB,E1W,13.38472764187182,1
950000,House,1700,4,,london,SW16 2UW,SW16,13.764217263576723,3
625000,Flat / Apartment,663,2,,london,SW12 8DG,SW12,13.345506928718539,1
4825000,House,10475,7,oxshott,surrey,KT22 0QE,KT22,15.389321292755223,9
1575000,House,1983,4,barnes,london,SW13 9JG,SW13,14.269765830241871,6
2550000,House,1266,3,,london,SW3 4AR,SW3,14.75160391713461,8
525000,Flat / Apartment,707,2,battersea,london,SW11 2JB,SW11,13.17115354157376,0
775000,Flat / Apartment,967,2,south hackney,london,E9 7TT,E9,13.560618308335483,2
3250000,House,2210,3,putney,london,SW15 1JR,SW15,14.994165554305921,8
775000,Bungalow,1459,4,pinner,middlesex,HA5 3TT,HA5,13.560618308335483,2
1775000,House,2153,5,,london,SW11 6AQ,SW11,14.389310980891652,6
